Суурь он,Бүлэг,Сар,value
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2005-05,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2005-04,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2005-03,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2005-02,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2005-01,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2004-12,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2004-11,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2004-10,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2004-09,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2004-08,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2004-07,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2004-06,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2004-05,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2004-04,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2004-03,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2004-02,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2004-01,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2003-12,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2003-11,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2003-10,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2003-09,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2003-08,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2003-07,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2003-06,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2003-05,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2003-04,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2003-03,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2003-02,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2003-01,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2002-12,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2002-11,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2002-10,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2002-09,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2002-08,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2002-07,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2002-06,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2002-05,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2002-04,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2002-03,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2002-02,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2002-01,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2001-12,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2001-11,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2001-10,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2001-09,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2001-08,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2001-07,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2001-06,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2001-05,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2001-04,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2001-03,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2001-02,
2020=100,"Амралт, чөлөөт цаг, соёлын бараа, үйлчилгээ",2001-01,
2020=100,Боловсролын үйлчилгээ,2025-11,
2020=100,Боловсролын үйлчилгээ,2025-10,
2020=100,Боловсролын үйлчилгээ,2025-09,
2020=100,Боловсролын үйлчилгээ,2025-08,
2020=100,Боловсролын үйлчилгээ,2025-07,
2020=100,Боловсролын үйлчилгээ,2025-06,
2020=100,Боловсролын үйлчилгээ,2025-05,
2020=100,Боловсролын үйлчилгээ,2025-04,
2020=100,Боловсролын үйлчилгээ,2025-03,
2020=100,Боловсролын үйлчилгээ,2025-02,
2020=100,Боловсролын үйлчилгээ,2025-01,0.0
2020=100,Боловсролын үйлчилгээ,2024-12,0.0
2020=100,Боловсролын үйлчилгээ,2024-11,0.0
2020=100,Боловсролын үйлчилгээ,2024-10,0.0
2020=100,Боловсролын үйлчилгээ,2024-09,0.0
2020=100,Боловсролын үйлчилгээ,2024-08,19.7
2020=100,Боловсролын үйлчилгээ,2024-07,0.0
2020=100,Боловсролын үйлчилгээ,2024-06,0.0
2020=100,Боловсролын үйлчилгээ,2024-05,0.0
2020=100,Боловсролын үйлчилгээ,2024-04,0.0
2020=100,Боловсролын үйлчилгээ,2024-03,0.0
2020=100,Боловсролын үйлчилгээ,2024-02,0.0
2020=100,Боловсролын үйлчилгээ,2024-01,0.0
2020=100,Боловсролын үйлчилгээ,2023-12,0.0
2020=100,Боловсролын үйлчилгээ,2023-11,0.0
2020=100,Боловсролын үйлчилгээ,2023-10,0.0
2020=100,Боловсролын үйлчилгээ,2023-09,0.0
2020=100,Боловсролын үйлчилгээ,2023-08,21.2
2020=100,Боловсролын үйлчилгээ,2023-07,0.0
2020=100,Боловсролын үйлчилгээ,2023-06,0.0
2020=100,Боловсролын үйлчилгээ,2023-05,0.0
2020=100,Боловсролын үйлчилгээ,2023-04,0.0
2020=100,Боловсролын үйлчилгээ,2023-03,0.0
2020=100,Боловсролын үйлчилгээ,2023-02,0.0
2020=100,Боловсролын үйлчилгээ,2023-01,0.0
2020=100,Боловсролын үйлчилгээ,2022-12,0.0
2020=100,Боловсролын үйлчилгээ,2022-11,0.0
2020=100,Боловсролын үйлчилгээ,2022-10,0.0
2020=100,Боловсролын үйлчилгээ,2022-09,0.0
2020=100,Боловсролын үйлчилгээ,2022-08,10.7
2020=100,Боловсролын үйлчилгээ,2022-07,0.0
2020=100,Боловсролын үйлчилгээ,2022-06,0.0
2020=100,Боловсролын үйлчилгээ,2022-05,0.0
2020=100,Боловсролын үйлчилгээ,2022-04,0.0
2020=100,Боловсролын үйлчилгээ,2022-03,0.0
2020=100,Боловсролын үйлчилгээ,2022-02,0.0
2020=100,Боловсролын үйлчилгээ,2022-01,0.0
2020=100,Боловсролын үйлчилгээ,2021-12,0.0
2020=100,Боловсролын үйлчилгээ,2021-11,0.0
2020=100,Боловсролын үйлчилгээ,2021-10,0.0
2020=100,Боловсролын үйлчилгээ,2021-09,0.0
2020=100,Боловсролын үйлчилгээ,2021-08,6.3
2020=100,Боловсролын үйлчилгээ,2021-07,0.0
2020=100,Боловсролын үйлчилгээ,2021-06,0.0
2020=100,Боловсролын үйлчилгээ,2021-05,0.0
2020=100,Боловсролын үйлчилгээ,2021-04,0.0
2020=100,Боловсролын үйлчилгээ,2021-03,0.0
2020=100,Боловсролын үйлчилгээ,2021-02,0.0
2020=100,Боловсролын үйлчилгээ,2021-01,0.0
2020=100,Боловсролын үйлчилгээ,2020-12,0.0
2020=100,Боловсролын үйлчилгээ,2020-11,0.0
2020=100,Боловсролын үйлчилгээ,2020-10,0.0
2020=100,Боловсролын үйлчилгээ,2020-09,0.0
2020=100,Боловсролын үйлчилгээ,2020-08,0.6
2020=100,Боловсролын үйлчилгээ,2020-07,0.0
2020=100,Боловсролын үйлчилгээ,2020-06,0.0
2020=100,Боловсролын үйлчилгээ,2020-05,0.0
2020=100,Боловсролын үйлчилгээ,2020-04,0.0
2020=100,Боловсролын үйлчилгээ,2020-03,0.0
2020=100,Боловсролын үйлчилгээ,2020-02,0.0
2020=100,Боловсролын үйлчилгээ,2020-01,
2020=100,Боловсролын үйлчилгээ,2019-12,
2020=100,Боловсролын үйлчилгээ,2019-11,
2020=100,Боловсролын үйлчилгээ,2019-10,
2020=100,Боловсролын үйлчилгээ,2019-09,
2020=100,Боловсролын үйлчилгээ,2019-08,
2020=100,Боловсролын үйлчилгээ,2019-07,
2020=100,Боловсролын үйлчилгээ,2019-06,
2020=100,Боловсролын үйлчилгээ,2019-05,
2020=100,Боловсролын үйлчилгээ,2019-04,
2020=100,Боловсролын үйлчилгээ,2019-03,
2020=100,Боловсролын үйлчилгээ,2019-02,
2020=100,Боловсролын үйлчилгээ,2019-01,
2020=100,Боловсролын үйлчилгээ,2018-12,
2020=100,Боловсролын үйлчилгээ,2018-11,
2020=100,Боловсролын үйлчилгээ,2018-10,
2020=100,Боловсролын үйлчилгээ,2018-09,
2020=100,Боловсролын үйлчилгээ,2018-08,
2020=100,Боловсролын үйлчилгээ,2018-07,
2020=100,Боловсролын үйлчилгээ,2018-06,
2020=100,Боловсролын үйлчилгээ,2018-05,
2020=100,Боловсролын үйлчилгээ,2018-04,
2020=100,Боловсролын үйлчилгээ,2018-03,
2020=100,Боловсролын үйлчилгээ,2018-02,
2020=100,Боловсролын үйлчилгээ,2018-01,
2020=100,Боловсролын үйлчилгээ,2017-12,
2020=100,Боловсролын үйлчилгээ,2017-11,
2020=100,Боловсролын үйлчилгээ,2017-10,
2020=100,Боловсролын үйлчилгээ,2017-09,
2020=100,Боловсролын үйлчилгээ,2017-08,
2020=100,Боловсролын үйлчилгээ,2017-07,
2020=100,Боловсролын үйлчилгээ,2017-06,
2020=100,Боловсролын үйлчилгээ,2017-05,
2020=100,Боловсролын үйлчилгээ,2017-04,
2020=100,Боловсролын үйлчилгээ,2017-03,
2020=100,Боловсролын үйлчилгээ,2017-02,
2020=100,Боловсролын үйлчилгээ,2017-01,
2020=100,Боловсролын үйлчилгээ,2016-12,
2020=100,Боловсролын үйлчилгээ,2016-11,
2020=100,Боловсролын үйлчилгээ,2016-10,
2020=100,Боловсролын үйлчилгээ,2016-09,
2020=100,Боловсролын үйлчилгээ,2016-08,
2020=100,Боловсролын үйлчилгээ,2016-07,
2020=100,Боловсролын үйлчилгээ,2016-06,
2020=100,Боловсролын үйлчилгээ,2016-05,
2020=100,Боловсролын үйлчилгээ,2016-04,
2020=100,Боловсролын үйлчилгээ,2016-03,
2020=100,Боловсролын үйлчилгээ,2016-02,
2020=100,Боловсролын үйлчилгээ,2016-01,
2020=100,Боловсролын үйлчилгээ,2015-12,
2020=100,Боловсролын үйлчилгээ,2015-11,
2020=100,Боловсролын үйлчилгээ,2015-10,
2020=100,Боловсролын үйлчилгээ,2015-09,
2020=100,Боловсролын үйлчилгээ,2015-08,
2020=100,Боловсролын үйлчилгээ,2015-07,
2020=100,Боловсролын үйлчилгээ,2015-06,
2020=100,Боловсролын үйлчилгээ,2015-05,
2020=100,Боловсролын үйлчилгээ,2015-04,
2020=100,Боловсролын үйлчилгээ,2015-03,
2020=100,Боловсролын үйлчилгээ,2015-02,
2020=100,Боловсролын үйлчилгээ,2015-01,
2020=100,Боловсролын үйлчилгээ,2014-12,
2020=100,Боловсролын үйлчилгээ,2014-11,
2020=100,Боловсролын үйлчилгээ,2014-10,
2020=100,Боловсролын үйлчилгээ,2014-09,
2020=100,Боловсролын үйлчилгээ,2014-08,
2020=100,Боловсролын үйлчилгээ,2014-07,
2020=100,Боловсролын үйлчилгээ,2014-06,
2020=100,Боловсролын үйлчилгээ,2014-05,
2020=100,Боловсролын үйлчилгээ,2014-04,
2020=100,Боловсролын үйлчилгээ,2014-03,
2020=100,Боловсролын үйлчилгээ,2014-02,
2020=100,Боловсролын үйлчилгээ,2014-01,
2020=100,Боловсролын үйлчилгээ,2013-12,
2020=100,Боловсролын үйлчилгээ,2013-11,
2020=100,Боловсролын үйлчилгээ,2013-10,
2020=100,Боловсролын үйлчилгээ,2013-09,
2020=100,Боловсролын үйлчилгээ,2013-08,
2020=100,Боловсролын үйлчилгээ,2013-07,
2020=100,Боловсролын үйлчилгээ,2013-06,
2020=100,Боловсролын үйлчилгээ,2013-05,
2020=100,Боловсролын үйлчилгээ,2013-04,
2020=100,Боловсролын үйлчилгээ,2013-03,
2020=100,Боловсролын үйлчилгээ,2013-02,
2020=100,Боловсролын үйлчилгээ,2013-01,
2020=100,Боловсролын үйлчилгээ,2012-12,
2020=100,Боловсролын үйлчилгээ,2012-11,
2020=100,Боловсролын үйлчилгээ,2012-10,
2020=100,Боловсролын үйлчилгээ,2012-09,
2020=100,Боловсролын үйлчилгээ,2012-08,
2020=100,Боловсролын үйлчилгээ,2012-07,
2020=100,Боловсролын үйлчилгээ,2012-06,
2020=100,Боловсролын үйлчилгээ,2012-05,
2020=100,Боловсролын үйлчилгээ,2012-04,
2020=100,Боловсролын үйлчилгээ,2012-03,
2020=100,Боловсролын үйлчилгээ,2012-02,
2020=100,Боловсролын үйлчилгээ,2012-01,
2020=100,Боловсролын үйлчилгээ,2011-12,
2020=100,Боловсролын үйлчилгээ,2011-11,
2020=100,Боловсролын үйлчилгээ,2011-10,
2020=100,Боловсролын үйлчилгээ,2011-09,
2020=100,Боловсролын үйлчилгээ,2011-08,
2020=100,Боловсролын үйлчилгээ,2011-07,
2020=100,Боловсролын үйлчилгээ,2011-06,
2020=100,Боловсролын үйлчилгээ,2011-05,
2020=100,Боловсролын үйлчилгээ,2011-04,
2020=100,Боловсролын үйлчилгээ,2011-03,
2020=100,Боловсролын үйлчилгээ,2011-02,
2020=100,Боловсролын үйлчилгээ,2011-01,
2020=100,Боловсролын үйлчилгээ,2010-12,
2020=100,Боловсролын үйлчилгээ,2010-11,
2020=100,Боловсролын үйлчилгээ,2010-10,
2020=100,Боловсролын үйлчилгээ,2010-09,
2020=100,Боловсролын үйлчилгээ,2010-08,
2020=100,Боловсролын үйлчилгээ,2010-07,
2020=100,Боловсролын үйлчилгээ,2010-06,
2020=100,Боловсролын үйлчилгээ,2010-05,
2020=100,Боловсролын үйлчилгээ,2010-04,
2020=100,Боловсролын үйлчилгээ,2010-03,
2020=100,Боловсролын үйлчилгээ,2010-02,
2020=100,Боловсролын үйлчилгээ,2010-01,
2020=100,Боловсролын үйлчилгээ,2009-12,
2020=100,Боловсролын үйлчилгээ,2009-11,
2020=100,Боловсролын үйлчилгээ,2009-10,
2020=100,Боловсролын үйлчилгээ,2009-09,
2020=100,Боловсролын үйлчилгээ,2009-08,
2020=100,Боловсролын үйлчилгээ,2009-07,
2020=100,Боловсролын үйлчилгээ,2009-06,
2020=100,Боловсролын үйлчилгээ,2009-05,
2020=100,Боловсролын үйлчилгээ,2009-04,
2020=100,Боловсролын үйлчилгээ,2009-03,
2020=100,Боловсролын үйлчилгээ,2009-02,
2020=100,Боловсролын үйлчилгээ,2009-01,
2020=100,Боловсролын үйлчилгээ,2008-12,
2020=100,Боловсролын үйлчилгээ,2008-11,
2020=100,Боловсролын үйлчилгээ,2008-10,
2020=100,Боловсролын үйлчилгээ,2008-09,
2020=100,Боловсролын үйлчилгээ,2008-08,
2020=100,Боловсролын үйлчилгээ,2008-07,
2020=100,Боловсролын үйлчилгээ,2008-06,
2020=100,Боловсролын үйлчилгээ,2008-05,
2020=100,Боловсролын үйлчилгээ,2008-04,
2020=100,Боловсролын үйлчилгээ,2008-03,
2020=100,Боловсролын үйлчилгээ,2008-02,
2020=100,Боловсролын үйлчилгээ,2008-01,
2020=100,Боловсролын үйлчилгээ,2007-12,
2020=100,Боловсролын үйлчилгээ,2007-11,
2020=100,Боловсролын үйлчилгээ,2007-10,
2020=100,Боловсролын үйлчилгээ,2007-09,
2020=100,Боловсролын үйлчилгээ,2007-08,
2020=100,Боловсролын үйлчилгээ,2007-07,
2020=100,Боловсролын үйлчилгээ,2007-06,
2020=100,Боловсролын үйлчилгээ,2007-05,
2020=100,Боловсролын үйлчилгээ,2007-04,
2020=100,Боловсролын үйлчилгээ,2007-03,
2020=100,Боловсролын үйлчилгээ,2007-02,
2020=100,Боловсролын үйлчилгээ,2007-01,
2020=100,Боловсролын үйлчилгээ,2006-12,
2020=100,Боловсролын үйлчилгээ,2006-11,
2020=100,Боловсролын үйлчилгээ,2006-10,
2020=100,Боловсролын үйлчилгээ,2006-09,
2020=100,Боловсролын үйлчилгээ,2006-08,
2020=100,Боловсролын үйлчилгээ,2006-07,
2020=100,Боловсролын үйлчилгээ,2006-06,
2020=100,Боловсролын үйлчилгээ,2006-05,
2020=100,Боловсролын үйлчилгээ,2006-04,
2020=100,Боловсролын үйлчилгээ,2006-03,
2020=100,Боловсролын үйлчилгээ,2006-02,
2020=100,Боловсролын үйлчилгээ,2006-01,
2020=100,Боловсролын үйлчилгээ,2005-12,
2020=100,Боловсролын үйлчилгээ,2005-11,
2020=100,Боловсролын үйлчилгээ,2005-10,
2020=100,Боловсролын үйлчилгээ,2005-09,
2020=100,Боловсролын үйлчилгээ,2005-08,
2020=100,Боловсролын үйлчилгээ,2005-07,
2020=100,Боловсролын үйлчилгээ,2005-06,
2020=100,Боловсролын үйлчилгээ,2005-05,
2020=100,Боловсролын үйлчилгээ,2005-04,
2020=100,Боловсролын үйлчилгээ,2005-03,
2020=100,Боловсролын үйлчилгээ,2005-02,
2020=100,Боловсролын үйлчилгээ,2005-01,
2020=100,Боловсролын үйлчилгээ,2004-12,
2020=100,Боловсролын үйлчилгээ,2004-11,
2020=100,Боловсролын үйлчилгээ,2004-10,
2020=100,Боловсролын үйлчилгээ,2004-09,
2020=100,Боловсролын үйлчилгээ,2004-08,
2020=100,Боловсролын үйлчилгээ,2004-07,
2020=100,Боловсролын үйлчилгээ,2004-06,
2020=100,Боловсролын үйлчилгээ,2004-05,
2020=100,Боловсролын үйлчилгээ,2004-04,
2020=100,Боловсролын үйлчилгээ,2004-03,
2020=100,Боловсролын үйлчилгээ,2004-02,
2020=100,Боловсролын үйлчилгээ,2004-01,
2020=100,Боловсролын үйлчилгээ,2003-12,
2020=100,Боловсролын үйлчилгээ,2003-11,
2020=100,Боловсролын үйлчилгээ,2003-10,
2020=100,Боловсролын үйлчилгээ,2003-09,
2020=100,Боловсролын үйлчилгээ,2003-08,
2020=100,Боловсролын үйлчилгээ,2003-07,
2020=100,Боловсролын үйлчилгээ,2003-06,
2020=100,Боловсролын үйлчилгээ,2003-05,
2020=100,Боловсролын үйлчилгээ,2003-04,
2020=100,Боловсролын үйлчилгээ,2003-03,
2020=100,Боловсролын үйлчилгээ,2003-02,
2020=100,Боловсролын үйлчилгээ,2003-01,
2020=100,Боловсролын үйлчилгээ,2002-12,
2020=100,Боловсролын үйлчилгээ,2002-11,
2020=100,Боловсролын үйлчилгээ,2002-10,
2020=100,Боловсролын үйлчилгээ,2002-09,
2020=100,Боловсролын үйлчилгээ,2002-08,
2020=100,Боловсролын үйлчилгээ,2002-07,
2020=100,Боловсролын үйлчилгээ,2002-06,
2020=100,Боловсролын үйлчилгээ,2002-05,
2020=100,Боловсролын үйлчилгээ,2002-04,
2020=100,Боловсролын үйлчилгээ,2002-03,
2020=100,Боловсролын үйлчилгээ,2002-02,
2020=100,Боловсролын үйлчилгээ,2002-01,
2020=100,Боловсролын үйлчилгээ,2001-12,
2020=100,Боловсролын үйлчилгээ,2001-11,
2020=100,Боловсролын үйлчилгээ,2001-10,
2020=100,Боловсролын үйлчилгээ,2001-09,
2020=100,Боловсролын үйлчилгээ,2001-08,
2020=100,Боловсролын үйлчилгээ,2001-07,
2020=100,Боловсролын үйлчилгээ,2001-06,
2020=100,Боловсролын үйлчилгээ,2001-05,
2020=100,Боловсролын үйлчилгээ,2001-04,
2020=100,Боловсролын үйлчилгээ,2001-03,
2020=100,Боловсролын үйлчилгээ,2001-02,
2020=100,Боловсролын үйлчилгээ,2001-01,
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2025-11,
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2025-10,
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2025-09,
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2025-08,
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2025-07,
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2025-06,
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2025-05,
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2025-04,
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2025-03,
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2025-02,
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2025-01,5.3
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2024-12,1.4
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2024-11,0.3
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2024-10,0.0
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2024-09,3.1
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2024-08,0.0
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2024-07,0.0
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2024-06,1.0
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2024-05,2.5
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2024-04,0.0
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2024-03,0.0
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2024-02,0.0
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2024-01,0.7
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2023-12,0.0
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2023-11,0.0
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2023-10,0.0
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2023-09,1.5
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2023-08,2.2
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2023-07,0.6
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2023-06,0.0
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2023-05,0.0
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2023-04,4.1
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2023-03,5.7
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2023-02,0.0
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2023-01,2.3
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2022-12,0.3
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2022-11,0.0
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2022-10,1.0
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2022-09,1.2
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2022-08,0.4
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2022-07,0.0
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2022-06,3.4
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2022-05,3.5
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2022-04,0.0
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2022-03,0.1
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2022-02,0.1
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2022-01,2.0
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2021-12,4.5
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2021-11,0.0
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2021-10,0.0
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2021-09,0.0
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2021-08,1.8
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2021-07,0.0
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2021-06,2.2
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2021-05,1.9
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2021-04,0.0
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2021-03,3.1
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2021-02,0.6
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2021-01,0.1
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2020-12,0.0
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2020-11,0.0
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2020-10,1.6
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2020-09,0.0
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2020-08,0.0
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2020-07,0.0
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2020-06,0.7
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2020-05,0.8
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2020-04,0.0
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2020-03,1.5
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2020-02,1.5
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2020-01,
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2019-12,
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2019-11,
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2019-10,
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2019-09,
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2019-08,
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2019-07,
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2019-06,
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2019-05,
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2019-04,
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2019-03,
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2019-02,
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2019-01,
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2018-12,
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2018-11,
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2018-10,
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2018-09,
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2018-08,
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2018-07,
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2018-06,
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2018-05,
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2018-04,
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2018-03,
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2018-02,
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2018-01,
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2017-12,
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2017-11,
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2017-10,
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2017-09,
2020=100,"Зочид буудал, зоогийн газар, дотуур байр",2017-08,
